ColumnID,Label,CSV_Text,Status,Reason,PDF_Hint
1,nan,TIGPSID,Suspicious,No punctuation at end. Label not found in PDF. ,
2,@1.,請問你的性別（生理性別）：,Incomplete/Mismatch,Text not found in PDF after label. ,PDF has: 現正就讀國九的在學學生。2.日前曾收到調...
3,@2.,你覺得你比較認同自己的性別是？（請選擇一,Suspicious,No punctuation at end. Text not found in PDF after label. ,PDF has: 日前曾收到調查通知（摺頁與計畫說明書），...
4,@3.,請問你親生父母的婚姻狀態：,Incomplete/Mismatch,Text not found in PDF after label. ,PDF has: 其他家人的電子郵件（E-mail）：__...
6,@4.,下列關於你家中生活的情形，你認為符不符合,Suspicious,No punctuation at end. ,
7,@4.,下列關於你家中生活的情形，你認為符不符_A,Suspicious,Ends with _X suffix (likely truncated or split). ,
8,@4.,下列關於你家中生活的情形，你認為符不符_B,Suspicious,Ends with _X suffix (likely truncated or split). ,
9,@4.,下列關於你家中生活的情形，你認為符不符_C,Suspicious,Ends with _X suffix (likely truncated or split). ,
10,@4.,下列關於你家中生活的情形，你認為符不符_D,Suspicious,Ends with _X suffix (likely truncated or split). ,
11,@4.,下列關於你家中生活的情形，你認為符不符_E,Suspicious,Ends with _X suffix (likely truncated or split). ,
12,@5.,過去一年，請問你家長和你相處情形如何？51,Suspicious,No punctuation at end. Text not found in PDF after label. ,PDF has: 我受到挫折時，總可以從我的家人那裡得到安...
13,@5.,過去一年，請問你家長和你相處情形如何？52,Suspicious,No punctuation at end. Text not found in PDF after label. ,PDF has: 我受到挫折時，總可以從我的家人那裡得到安...
14,@5.,過去一年，請問你家長和你相處情形如何？53,Suspicious,No punctuation at end. Text not found in PDF after label. ,PDF has: 我受到挫折時，總可以從我的家人那裡得到安...
15,@5.,過去一年，請問你家長和你相處情形如何？54,Suspicious,No punctuation at end. Text not found in PDF after label. ,PDF has: 我受到挫折時，總可以從我的家人那裡得到安...
16,@5.,過去一年，請問你家長和你相處情形如何？55,Suspicious,No punctuation at end. Text not found in PDF after label. ,PDF has: 我受到挫折時，總可以從我的家人那裡得到安...
17,@5.,過去一年，請問你家長和你相處情形如何？56,Suspicious,No punctuation at end. Text not found in PDF after label. ,PDF has: 我受到挫折時，總可以從我的家人那裡得到安...
18,@5.,過去一年，請問你家長和你相處情形如何？57,Suspicious,No punctuation at end. Text not found in PDF after label. ,PDF has: 我受到挫折時，總可以從我的家人那裡得到安...
19,@5.,過去一年，請問你家長和你相處情形如何？58,Suspicious,No punctuation at end. Text not found in PDF after label. ,PDF has: 我受到挫折時，總可以從我的家人那裡得到安...
20,@5.,過去一年，請問你家長和你相處情形如何？59,Suspicious,No punctuation at end. Text not found in PDF after label. ,PDF has: 我受到挫折時，總可以從我的家人那裡得到安...
21,@5.,過去一年，請問你家長和你相處情形如何？510,Suspicious,No punctuation at end. Text not found in PDF after label. ,PDF has: 我受到挫折時，總可以從我的家人那裡得到安...
22,@6.,下列有關你們班上的說法，你認為符不符合目,Suspicious,No punctuation at end. Text not found in PDF after label. ,PDF has: 當我需要幫忙或忠告時，我可以依賴我的家人...
23,@6.,下列有關你們班上的說法，你認為符不符合_A,Suspicious,Ends with _X suffix (likely truncated or split). Text not found in PDF after label. ,PDF has: 當我需要幫忙或忠告時，我可以依賴我的家人...
24,@6.,下列有關你們班上的說法，你認為符不符合_B,Suspicious,Ends with _X suffix (likely truncated or split). Text not found in PDF after label. ,PDF has: 當我需要幫忙或忠告時，我可以依賴我的家人...
25,@7.,請問你的座號是？,Incomplete/Mismatch,Text not found in PDF after label. ,PDF has: 知道你每天的行蹤。□(1)□(2)□(3...
46,@9.,你上學期的平均成績大約如何？,Incomplete/Mismatch,Text not found in PDF after label. ,PDF has: 處罰你時會打你。□(1)□(2)□(3)...
47,@10.,上九年級以來，你有沒有參加校外補習（包含,Suspicious,No punctuation at end. Text not found in PDF after label. ,PDF has: 有關你的事，會告訴你他們的想法。□(1)...
48,@101.,你補那幾科？【可複選】1數學,Suspicious,No punctuation at end. Label not found in PDF. ,
49,@101.,你補那幾科？【可複選】2英語,Suspicious,No punctuation at end. Label not found in PDF. ,
50,@101.,你補那幾科？【可複選】3理化,Suspicious,No punctuation at end. Label not found in PDF. ,
51,@101.,你補那幾科？【可複選】4國文,Suspicious,No punctuation at end. Label not found in PDF. ,
52,@101.,你補那幾科？【可複選】5社會（史、地、公,Suspicious,No punctuation at end. Label not found in PDF. ,
53,@101.,你補那幾科？【可複選】6資訊電腦,Suspicious,No punctuation at end. Label not found in PDF. ,
54,@101.,你補那幾科？【可複選】7地科,Suspicious,No punctuation at end. Label not found in PDF. ,
56,nan,其他_A,Suspicious,Ends with _X suffix (likely truncated or split). Label not found in PDF. ,
57,@11.,請問以下敘述是否符合對你家長的情形？111,Suspicious,No punctuation at end. Text not found in PDF after label. ,PDF has: 請問以下敘述是否符合對你家長的情形？(1...
58,@11.,請問以下敘述是否符合對你家長的情形？112,Suspicious,No punctuation at end. Text not found in PDF after label. ,PDF has: 請問以下敘述是否符合對你家長的情形？(1...
59,@11.,請問以下敘述是否符合對你家長的情形？113,Suspicious,No punctuation at end. Text not found in PDF after label. ,PDF has: 請問以下敘述是否符合對你家長的情形？(1...
60,@11.,請問以下敘述是否符合對你家長的情形？114,Suspicious,No punctuation at end. Text not found in PDF after label. ,PDF has: 請問以下敘述是否符合對你家長的情形？(1...
61,@11.,請問以下敘述是否符合對你家長的情形？115,Suspicious,No punctuation at end. Text not found in PDF after label. ,PDF has: 請問以下敘述是否符合對你家長的情形？(1...
62,@11.,請問以下敘述是否符合對你家長的情形？116,Suspicious,No punctuation at end. Text not found in PDF after label. ,PDF has: 請問以下敘述是否符合對你家長的情形？(1...
63,@11.,請問以下敘述是否符合對你家長的情形？117,Suspicious,No punctuation at end. Text not found in PDF after label. ,PDF has: 請問以下敘述是否符合對你家長的情形？(1...
64,@11.,請問以下敘述是否符合對你家長的情形？118,Suspicious,No punctuation at end. Text not found in PDF after label. ,PDF has: 請問以下敘述是否符合對你家長的情形？(1...
65,@12.,升上國九後，家裡有沒有因為你要升學而改變,Suspicious,No punctuation at end. ,
66,@12.,升上國九後，家裡有沒有因為你要升學而改_A,Suspicious,Ends with _X suffix (likely truncated or split). ,
67,@12.,升上國九後，家裡有沒有因為你要升學而改_B,Suspicious,Ends with _X suffix (likely truncated or split). ,
68,@12.,升上國九後，家裡有沒有因為你要升學而改_C,Suspicious,Ends with _X suffix (likely truncated or split). ,
69,@12.,升上國九後，家裡有沒有因為你要升學而改_D,Suspicious,Ends with _X suffix (likely truncated or split). ,
70,@12.,升上國九後，家裡有沒有因為你要升學而改_E,Suspicious,Ends with _X suffix (likely truncated or split). ,
71,@12.,升上國九後，家裡有沒有因為你要升學而改_F,Suspicious,Ends with _X suffix (likely truncated or split). ,
72,@12.,升上國九後，家裡有沒有因為你要升學而改_G,Suspicious,Ends with _X suffix (likely truncated or split). ,
73,@12.,升上國九後，家裡有沒有因為你要升學而改_H,Suspicious,Ends with _X suffix (likely truncated or split). ,
74,@12.,升上國九後，家裡有沒有因為你要升學而改_I,Suspicious,Ends with _X suffix (likely truncated or split). ,
77,@141.,你們討論過哪些相關事情？【可複選】1要唸,Suspicious,No punctuation at end. Label not found in PDF. ,
78,@141.,你們討論過哪些相關事情？【可複選】2要加,Suspicious,No punctuation at end. Label not found in PDF. ,
79,@141.,你們討論過哪些相關事情？【可複選】3如何,Suspicious,No punctuation at end. Label not found in PDF. ,
