Group_ID,Question_ID
v1,v1
v2,v2
v3,v3
v5,v5_1
v5,v5_2
v5,v5_3
v5,v5_4
v5,v5_5
v5,v5_6
v6,v6_1
v6,v6_2
v6,v6_3
v6,v6_4
v6,v6_5
v6,v6_6
v6,v6_7
v6,v6_8
v6,v6_9
v6,v6_10
v19,v19_1
v19,v19_2
v19,v19_3
v19,v19_4
v19,v19_5
v19,v19_6
v19,v19_7
v19,v19_8
v19,v19_9
v19,v19_10
v22,v22_1
v22,v22_2
v22,v22_3
v22,v22_4
v22,v22_5
v22,v22_6
v23,v23_1
v23,v23_2
v23,v23_3
v23,v23_4
v23,v23_5
v23,v23_6
v23,v23_7
v23,v23_8
v23,v23_9
v25,v25_1
v25,v25_2
v25,v25_3
v25,v25_4
v25,v25_5
v25,v25_6
v25,v25_7
v25,v25_8
v25,v25_9
v25,v25_10
v25,v25_11
v25,v25_12
v25,v25_13
v25,v25_14
v25,v25_15
v26,v26_1
v26,v26_2
v26,v26_3
v26,v26_4
v26,v26_5
v26,v26_6
v27,v27_1
v27,v27_2
v27,v27_3
v27,v27_4
v28,v28_1
v28,v28_2
v28,v28_3
v28,v28_4
v28,v28_5
v28,v28_6
v28,v28_7
v28,v28_8
v28,v28_9
v28,v28_10
v34,v34
v36,v36
v38,v38
v40,v40
v42,v42_01
v42,v42_02
v42,v42_03
v42,v42_04
v42,v42_05
v42,v42_06
v42,v42_07
v42,v42_08
v42,v42_09
v42,v42_10
v42,v42_11
v42,v42_12
v42,v42_13
v42,v42_14
v49,v49
v50,v50
v51,v51
v521,v521
v52,v52_1
v52,v52_2
v52,v52_3
v54,v54_1
v54,v54_2
v54,v54_3
v54,v54_4
v54,v54_5
v54,v54_6
v54,v54_7
v54,v54_8
v54,v54_9
v54,v54_10
v54,v54_11
v54,v54_12
v54,v54_13
v54,v54_14
v54,v54_15
v54,v54_16
v54,v54_17
v54,v54_18
v54,v54_19
v54,v54_20
v55,v55_1
v55,v55_2
v55,v55_3
v55,v55_4
v55,v55_5
v55,v55_6
v55,v55_7
v55,v55_8
v55,v55_9
v55,v55_10
v55,v55_11
v55,v55_12
v55,v55_13
v55,v55_14
v57,v57_1
v57,v57_2
v57,v57_3
v57,v57_4
v57,v57_5
v61,v61
v62,v62
