wave,original_group_code,formal_group_name_zh,formal_group_name_en,counterpart_group_code,subscale_code,subscale_name_zh,subscale_name_en,items,description_zh,current_analysis_scope
W2,v25,社群媒體自我呈現與網路形象管理,Social Media Self-Presentation and Online Image Management,26,v25_A,網路理想自我呈現,Online Ideal Self-Presentation,"v25_1, v25_2, v25_3",,used as W2 predictor
W2,v25,社群媒體自我呈現與網路形象管理,Social Media Self-Presentation and Online Image Management,26,v25_B,現實自我認同滿意度,Real-life Self-Satisfaction,"v25_4, v25_5, v25_6",,used as W2 predictor
W2,v25,社群媒體自我呈現與網路形象管理,Social Media Self-Presentation and Online Image Management,26,v25_C,虛實形象差異與網路沈浸,Online-Offline Discrepancy & Immersion,"v25_7, v25_8, v25_9, v25_10, v25_11, v25_12, v25_13, v25_14, v25_15",,used as W2 predictor
W2,v23,社群媒體使用行為：選擇性分享與印象管理,Social Media Use: Selective Sharing and Impression Management,25,v23_A,選擇性正向分享,Selective Positive Sharing,"v23_1, v23_2, v23_3",,used as W2 predictor
W2,v23,社群媒體使用行為：選擇性分享與印象管理,Social Media Use: Selective Sharing and Impression Management,25,v23_B,真實／非理想化自我呈現,Authentic and Less-Ideal Self-Presentation,"v23_4, v23_5, v23_6",,used as W2 predictor
W2,v23,社群媒體使用行為：選擇性分享與印象管理,Social Media Use: Selective Sharing and Impression Management,25,v23_C,隱性社群瀏覽與被動參與,Covert Social Media Monitoring and Passive Participation,"v23_7, v23_8, v23_9",,used as W2 predictor
W2,v26,線上社會比較與觀點搜尋,Online Social Comparison and Perspective Seeking,27,v26_A,線上向上社會比較,Online Upward Social Comparison,"v26_1, v26_2, v26_3",,used as W2 predictor
W2,v26,線上社會比較與觀點搜尋,Online Social Comparison and Perspective Seeking,27,v26_B,線上觀點搜尋與獲取,Online Perspective Seeking,"v26_4, v26_5, v26_6",,used as W2 predictor
W2,v27,網路同儕互動焦慮（錯失恐懼，FOMO）,"Online Peer Interaction Anxiety (Fear of Missing Out, FOMO)",28,v27_A,錯失恐懼與社交焦慮,Fear of Missing Out & Social Anxiety,"v27_1, v27_2, v27_3",,used as W2 predictor
W2,v27,網路同儕互動焦慮（錯失恐懼，FOMO）,"Online Peer Interaction Anxiety (Fear of Missing Out, FOMO)",28,v27_B,線上活動錯失困擾,Distress from Missing Online Events,v27_4,,used as W2 predictor
W2,v54,社會情緒學習（SEL）能力,Social and Emotional Learning (SEL) Competencies,53,v54_A,自我覺察,Self-Awareness,"v54_1, v54_2, v54_3",測量個體對自身生理狀態、情緒以及內在感受的感知能力。,used as W2 predictor
W2,v54,社會情緒學習（SEL）能力,Social and Emotional Learning (SEL) Competencies,53,v54_B,自我管理,Self-Management,"v54_4, v54_5, v54_6",測量情緒調節，以及面對壓力或低潮時的應對策略。,used as W2 predictor
W2,v54,社會情緒學習（SEL）能力,Social and Emotional Learning (SEL) Competencies,53,v54_C,動機與目標導向,Motivation & Goal Setting,"v54_7, v54_8, v54_9",測量目標設定、效能感、執行力與策略規劃。,used as W2 predictor
W2,v54,社會情緒學習（SEL）能力,Social and Emotional Learning (SEL) Competencies,53,v54_D,人際技巧與社交意識,Social Awareness & Relationship Skills,"v54_10, v54_11, v54_13, v54_14, v54_15",測量對他人的理解、同理基礎、開放性與主動社交行為。,used as W2 predictor
W2,v54,社會情緒學習（SEL）能力,Social and Emotional Learning (SEL) Competencies,53,v54_E,求助行為與社會支持,Help-Seeking,"v54_12, v54_16",測量向老師、長輩或同儕尋求支持與協助的傾向。,used as W2 predictor
W2,v54,社會情緒學習（SEL）能力,Social and Emotional Learning (SEL) Competencies,53,v54_F,負責任的決策與社會影響,Responsible Decision-Making,"v54_17, v54_18, v54_19, v54_20",測量行動前評估、結果預測、問題解決策略與團體規範維護。,used as W2 predictor
W3,26,社群媒體自我呈現與網路形象管理,Social Media Self-Presentation and Online Image Management,v25,26_A,網路理想自我呈現,Online Ideal Self-Presentation,"26-1, 26-2, 26-3",,reference mapping only
W3,26,社群媒體自我呈現與網路形象管理,Social Media Self-Presentation and Online Image Management,v25,26_B,現實自我認同滿意度,Real-life Self-Satisfaction,"26-4, 26-5, 26-6",,reference mapping only
W3,26,社群媒體自我呈現與網路形象管理,Social Media Self-Presentation and Online Image Management,v25,26_C,虛實形象差異與網路沈浸,Online-Offline Discrepancy & Immersion,"26-7, 26-8, 26-9, 26-10, 26-11, 26-12, 26-13, 26-14, 26-15",,reference mapping only
W3,25,社群媒體使用行為：選擇性分享與印象管理,Social Media Use: Selective Sharing and Impression Management,v23,25_A,選擇性正向分享,Selective Positive Sharing,"25-1, 25-2, 25-3",,reference mapping only
W3,25,社群媒體使用行為：選擇性分享與印象管理,Social Media Use: Selective Sharing and Impression Management,v23,25_B,真實／非理想化自我呈現,Authentic and Less-Ideal Self-Presentation,"25-4, 25-5, 25-6",,reference mapping only
W3,25,社群媒體使用行為：選擇性分享與印象管理,Social Media Use: Selective Sharing and Impression Management,v23,25_C,隱性社群瀏覽與被動參與,Covert Social Media Monitoring and Passive Participation,"25-7, 25-8, 25-9",,reference mapping only
W3,27,線上社會比較與觀點搜尋,Online Social Comparison and Perspective Seeking,v26,27_A,線上向上社會比較,Online Upward Social Comparison,"27-1, 27-2, 27-3",,reference mapping only
W3,27,線上社會比較與觀點搜尋,Online Social Comparison and Perspective Seeking,v26,27_B,線上觀點搜尋與獲取,Online Perspective Seeking,"27-4, 27-5, 27-6",,reference mapping only
W3,28,網路同儕互動焦慮（錯失恐懼，FOMO）,"Online Peer Interaction Anxiety (Fear of Missing Out, FOMO)",v27,28_A,錯失恐懼與社交焦慮,Fear of Missing Out & Social Anxiety,"28-1, 28-2, 28-3",,reference mapping only
W3,28,網路同儕互動焦慮（錯失恐懼，FOMO）,"Online Peer Interaction Anxiety (Fear of Missing Out, FOMO)",v27,28_B,線上活動錯失困擾,Distress from Missing Online Events,28-4,,reference mapping only
W3,53,社會情緒學習（SEL）能力,Social and Emotional Learning (SEL) Competencies,v54,53_A,自我覺察,Self-Awareness,"53-1, 53-2, 53-3",W3 對應參考：測量個體對自身生理狀態、情緒以及內在感受的感知能力。,reference mapping only
W3,53,社會情緒學習（SEL）能力,Social and Emotional Learning (SEL) Competencies,v54,53_B,自我管理,Self-Management,"53-4, 53-5, 53-6",W3 對應參考：測量情緒調節，以及面對壓力或低潮時的應對策略。,reference mapping only
W3,53,社會情緒學習（SEL）能力,Social and Emotional Learning (SEL) Competencies,v54,53_C,動機與目標導向,Motivation & Goal Setting,"53-7, 53-8, 53-9",W3 對應參考：測量目標設定、效能感、執行力與策略規劃。,reference mapping only
W3,53,社會情緒學習（SEL）能力,Social and Emotional Learning (SEL) Competencies,v54,53_D,人際技巧與社交意識,Social Awareness & Relationship Skills,"53-10, 53-11, 53-13, 53-14, 53-15",W3 對應參考：測量對他人的理解、同理基礎、開放性與主動社交行為。,reference mapping only
W3,53,社會情緒學習（SEL）能力,Social and Emotional Learning (SEL) Competencies,v54,53_E,求助行為與社會支持,Help-Seeking,"53-12, 53-16",W3 對應參考：測量向老師、長輩或同儕尋求支持與協助的傾向。,reference mapping only
W3,53,社會情緒學習（SEL）能力,Social and Emotional Learning (SEL) Competencies,v54,53_F,負責任的決策與社會影響,Responsible Decision-Making,"53-17, 53-18, 53-19, 53-20",W3 對應參考：測量行動前評估、結果預測、問題解決策略與團體規範維護。,reference mapping only
