Item,Correlation,Abs_Correlation,Question_Text
v51,-0.4838996776458837,0.4838996776458837,整體來說，你覺得最近的日子過得快樂嗎？
v59_5,-0.482695598268382,0.482695598268382,請問你過去一個月來的日常(大多數)睡眠習慣： (5)過去一個月來，你整體的睡眠品質好不好？
v52_3,-0.4616003915345979,0.4616003915345979,下列是有關你對自己的描述，你同不同意？ (3)我很滿意我自己
v57_4,-0.4601292139652153,0.4601292139652153,請問過去兩週中，你對以下敘述的感受程度？ (4)我醒來感到神清氣爽並有充分休息
v52_2,-0.4409333320390569,0.4409333320390569,下列是有關你對自己的描述，你同不同意？ (2)我用積極樂觀的態度看待我自己
v57_3,-0.4402078089655601,0.4402078089655601,請問過去兩週中，你對以下敘述的感受程度？ (3)我感到有活力且精力充沛
v50,-0.4348715801344923,0.4348715801344923,整體來說，你對自己的生活感到滿意嗎？
v57_2,-0.4143289030278146,0.4143289030278146,請問過去兩週中，你對以下敘述的感受程度？ (2)我感到心情平靜和放鬆
v52,-0.4136532795922368,0.4136532795922368,整體而言，你覺得自己目前的健康狀況如何？
v57_1,-0.4039092005352425,0.4039092005352425,請問過去兩週中，你對以下敘述的感受程度？ (1)我感到情緒開朗且精神不錯
v52_1,-0.4031361638573592,0.4031361638573592,下列是有關你對自己的描述，你同不同意？ (1)我是個有價值（有用）的人
v57_5,-0.3852177670796811,0.3852177670796811,請問過去兩週中，你對以下敘述的感受程度？ (5)我的日常生活中充滿讓我感興趣的事物
v24_2,0.2802158687155867,0.2802158687155867,關於你在社群媒體上與人們的互動，以下敘述符不符合你的感受。 (2)我擔心自己的言論或行為會受到批評
v8_08,0.2786965743546009,0.2786965743546009,上國八以來，下列事情發生過嗎？（複選題） (8)學習負擔重
v28_6,0.2755071849939751,0.2755071849939751,關於上網，以下敘述符不符合你的情形？ (6)我實際上網所花的時間遠遠超過原來預期的時間
v39_2,0.2719435498740665,0.2719435498740665,上八年級以來，你曾在網路上遇到這樣的事情嗎？ (2)別人說我的壞話
v5_5,-0.2718549374541248,0.2718549374541248,下列關於你家中生活的情形，你認為符不符合？ (5)我受到挫折時，總可以從我的家人那裡得到安慰
v8_05,0.2676515737531463,0.2676515737531463,上國八以來，下列事情發生過嗎？（複選題） (5)被人誤會
v24_6,0.2660098638853176,0.2660098638853176,關於你在社群媒體上與人們的互動，以下敘述符不符合你的感受。 (6)發佈任何內容之前，我都會感到焦慮
v35_2,0.2615684612004525,0.2615684612004525,上八年級以來，你曾在實際生活中(非網上)遇到這樣的事情嗎？ (2)別人說我的壞話
