題號,題目
student_oid,[student_oid]原本學生ID
student_id,[student_id]變更後學生ID
qb_code,[qb_code]題本編號
q_name,[q_name]問卷名稱
school_id,[school_id]學校代碼
school_name,[school_name]學校名稱
class,[class]班級
status,[status]作答狀況
name,[name]你的姓名：______________
cell,[cell]手機號碼：__________（範例﹕0972123456）
cell_who,[cell_who]請問此手機號碼是：
email,[email]電子郵件（E-mail）：________________________
v1,[v1]請問你的性別（生理性別）：
v2,[v2]請問你親生父母的婚姻狀態：
kv2,[kv2]請問你親生父母的婚姻狀態：
v3,[v3]我們的社會中，有一群人比較接近上層，有一群人比較接近下層。下面有一個由上到下的圖表，請問你認為自己的家庭最接近這個圖表裡面的哪一層？
v4_1,[v4_1]請問你同不同意以下的敘述 (1)就算身體有點不舒服或有其他正當理由可以休息，我還是會努力完成每天該做的事
v4_2,[v4_2]請問你同不同意以下的敘述 (2)就算是我不喜歡的事，我也會盡全力做
v4_3,[v4_3]請問你同不同意以下的敘述 (3)就算一件事需要很長時間才會開始看到結果，我仍然會努力維持我在這件事上的表現
v5_1,[v5_1]下列關於你家中生活的情形，你認為符不符合？ (1)作決定時，家人會彼此商量
v5_2,[v5_2]下列關於你家中生活的情形，你認為符不符合？ (2)家人喜歡共度休閒時光
v5_3,[v5_3]下列關於你家中生活的情形，你認為符不符合？ (3)當有家庭活動時，我們家每個人都會參加
v5_4,[v5_4]下列關於你家中生活的情形，你認為符不符合？ (4)家人會接納彼此的朋友
v5_5,[v5_5]下列關於你家中生活的情形，你認為符不符合？ (5)我受到挫折時，總可以從我的家人那裡得到安慰
v5_6,[v5_6]下列關於你家中生活的情形，你認為符不符合？ (6)當我需要幫忙或忠告時，我可以依賴我的家人
v6_1,[v6_1]過去一年，請問你家長和你相處情形如何？ (1)批評你或指責你
v6_2,[v6_2]過去一年，請問你家長和你相處情形如何？ (2)理解你、肯定你的想法
v6_3,[v6_3]過去一年，請問你家長和你相處情形如何？ (3)關心你
v6_4,[v6_4]過去一年，請問你家長和你相處情形如何？ (4)提供解決問題的經驗，給你參考
v6_5,[v6_5]過去一年，請問你家長和你相處情形如何？ (5)對你不聞不問
v6_6,[v6_6]過去一年，請問你家長和你相處情形如何？ (6)跟你常有衝突，彼此關係緊張
v6_7,[v6_7]過去一年，請問你家長和你相處情形如何？ (7)知道你每天的行蹤
v6_8,[v6_8]過去一年，請問你家長和你相處情形如何？ (8)同樣一件事，他們有時處罰小孩，有時不處罰
v6_9,[v6_9]過去一年，請問你家長和你相處情形如何？ (9)處罰你時會打你
v6_10,[v6_10]過去一年，請問你家長和你相處情形如何？ (10)有關你的事，會告訴你他們的想法
v7a_1,[v7a_1]請問以你這個年紀而言，父母管下列這些事情，你認為恰不恰當？ (1)穿著、打扮、造型
v7a_2,[v7a_2]請問以你這個年紀而言，父母管下列這些事情，你認為恰不恰當？ (2)和朋友的活動
v7a_3,[v7a_3]請問以你這個年紀而言，父母管下列這些事情，你認為恰不恰當？ (3)興趣、嗜好
v7a_4,[v7a_4]請問以你這個年紀而言，父母管下列這些事情，你認為恰不恰當？ (4)對長輩的態度
v7a_5,[v7a_5]請問以你這個年紀而言，父母管下列這些事情，你認為恰不恰當？ (5)做事有沒有負責任
v7a_6,[v7a_6]請問以你這個年紀而言，父母管下列這些事情，你認為恰不恰當？ (6)做人有沒有誠實
v7b_1,[v7b_1]那下列這些事情，你父母管得嚴不嚴？ (1)穿著、打扮、造型
v7b_2,[v7b_2]那下列這些事情，你父母管得嚴不嚴？ (2)和朋友的活動
v7b_3,[v7b_3]那下列這些事情，你父母管得嚴不嚴？ (3)興趣、嗜好
v7b_4,[v7b_4]那下列這些事情，你父母管得嚴不嚴？ (4)對長輩的態度
v7b_5,[v7b_5]那下列這些事情，你父母管得嚴不嚴？ (5)做事有沒有負責任
v7b_6,[v7b_6]那下列這些事情，你父母管得嚴不嚴？ (6)做人有沒有誠實
v8_01,[v8_01]上國八以來，下列事情發生過嗎？（複選題） (1)我和好朋友感情決裂
v8_02,[v8_02]上國八以來，下列事情發生過嗎？（複選題） (2)我在班級的成績、排名退步
v8_03,[v8_03]上國八以來，下列事情發生過嗎？（複選題） (3)我在學校裡跟同班同學有過節
v8_04,[v8_04]上國八以來，下列事情發生過嗎？（複選題） (4)我換班級
v8_05,[v8_05]上國八以來，下列事情發生過嗎？（複選題） (5)被人誤會
v8_06,[v8_06]上國八以來，下列事情發生過嗎？（複選題） (6)受人歧視
v8_07,[v8_07]上國八以來，下列事情發生過嗎？（複選題） (7)當眾?臉
v8_08,[v8_08]上國八以來，下列事情發生過嗎？（複選題） (8)學習負擔重
v8_09,[v8_09]上國八以來，下列事情發生過嗎？（複選題） (9)升學壓力
v8_10,[v8_10]上國八以來，下列事情發生過嗎？（複選題） (10)我生了重病或受重傷
v8_11,[v8_11]上國八以來，下列事情發生過嗎？（複選題） (11)家裡沒有錢了
v8_12,[v8_12]上國八以來，下列事情發生過嗎？（複選題） (12)家中有人去世
v8_13,[v8_13]上國八以來，下列事情發生過嗎？（複選題） (13)以上皆非
v9_1,[v9_1]下列是有關學校的描述，你同不同意？ (1)我喜歡學校
v9_2,[v9_2]下列是有關學校的描述，你同不同意？ (2)我不認為我是學校的一份子
v9_3,[v9_3]下列是有關學校的描述，你同不同意？ (3)我以我的學校為榮
v10_1,[v10_1]下列是有關學校的描述，你同不同意？ (1)學生逃學或翹課情況嚴重
v10_2,[v10_2]下列是有關學校的描述，你同不同意？ (2)學生抽菸或喝酒問題嚴重
v11_1,[v11_1]下列有關你和導師的說法，你認為符不符合目前的情況？ (1)導師很關心我
v11_2,[v11_2]下列有關你和導師的說法，你認為符不符合目前的情況？ (2)我跟導師很親近
v12_1,[v12_1]下列有關你和導師的說法，你認為符不符合目前的情況？ (1)當我需要他們的時候，我的同學們總是會適時伸出援手
v12_2,[v12_2]下列有關你和導師的說法，你認為符不符合目前的情況？ (2)當班上的同學需要我的時候，我總是會適時伸出援手
v12_3,[v12_3]下列有關你和導師的說法，你認為符不符合目前的情況？ (3)與其他班級比較，我們班的同學彼此之間，最互相信賴
v13,[v13]請問你的座號是？___號
v14_1_01,[v14_1_01]以下要了解你與班上同學在網路上以及實際生活中的相處狀況，請選出你最喜歡與最不喜歡的同學座號，最多可以選擇五位。 (1)在網路上，你喜歡跟班上哪些同學互動（例如一起打遊戲、講電話、聊天等）？第1位
v14_1_02,[v14_1_02]以下要了解你與班上同學在網路上以及實際生活中的相處狀況，請選出你最喜歡與最不喜歡的同學座號，最多可以選擇五位。 (1)在網路上，你喜歡跟班上哪些同學互動（例如一起打遊戲、講電話、聊天等）？第2位
v14_1_03,[v14_1_03]以下要了解你與班上同學在網路上以及實際生活中的相處狀況，請選出你最喜歡與最不喜歡的同學座號，最多可以選擇五位。 (1)在網路上，你喜歡跟班上哪些同學互動（例如一起打遊戲、講電話、聊天等）？第3位
v14_1_04,[v14_1_04]以下要了解你與班上同學在網路上以及實際生活中的相處狀況，請選出你最喜歡與最不喜歡的同學座號，最多可以選擇五位。 (1)在網路上，你喜歡跟班上哪些同學互動（例如一起打遊戲、講電話、聊天等）？第4位
v14_1_05,[v14_1_05]以下要了解你與班上同學在網路上以及實際生活中的相處狀況，請選出你最喜歡與最不喜歡的同學座號，最多可以選擇五位。 (1)在網路上，你喜歡跟班上哪些同學互動（例如一起打遊戲、講電話、聊天等）？第5位
v14_2_01,[v14_2_01]以下要了解你與班上同學在網路上以及實際生活中的相處狀況，請選出你最喜歡與最不喜歡的同學座號，最多可以選擇五位。 (2)在網路上，你不喜歡跟班上哪些同學互動（例如一起打遊戲、講電話、聊天等）？第1位
v14_2_02,[v14_2_02]以下要了解你與班上同學在網路上以及實際生活中的相處狀況，請選出你最喜歡與最不喜歡的同學座號，最多可以選擇五位。 (2)在網路上，你不喜歡跟班上哪些同學互動（例如一起打遊戲、講電話、聊天等）？第2位
v14_2_03,[v14_2_03]以下要了解你與班上同學在網路上以及實際生活中的相處狀況，請選出你最喜歡與最不喜歡的同學座號，最多可以選擇五位。 (2)在網路上，你不喜歡跟班上哪些同學互動（例如一起打遊戲、講電話、聊天等）？第3位
v14_2_04,[v14_2_04]以下要了解你與班上同學在網路上以及實際生活中的相處狀況，請選出你最喜歡與最不喜歡的同學座號，最多可以選擇五位。 (2)在網路上，你不喜歡跟班上哪些同學互動（例如一起打遊戲、講電話、聊天等）？第4位
v14_2_05,[v14_2_05]以下要了解你與班上同學在網路上以及實際生活中的相處狀況，請選出你最喜歡與最不喜歡的同學座號，最多可以選擇五位。 (2)在網路上，你不喜歡跟班上哪些同學互動（例如一起打遊戲、講電話、聊天等）？第5位
v14_3_01,[v14_3_01]以下要了解你與班上同學在網路上以及實際生活中的相處狀況，請選出你最喜歡與最不喜歡的同學座號，最多可以選擇五位。 (3)在實際生活(非網路)中，你喜歡跟班上哪些同學互動（例如分組同組、一起吃飯、討論功課、聊心事等）？第1位
v14_3_02,[v14_3_02]以下要了解你與班上同學在網路上以及實際生活中的相處狀況，請選出你最喜歡與最不喜歡的同學座號，最多可以選擇五位。 (3)在實際生活(非網路)中，你喜歡跟班上哪些同學互動（例如分組同組、一起吃飯、討論功課、聊心事等）？第2位
v14_3_03,[v14_3_03]以下要了解你與班上同學在網路上以及實際生活中的相處狀況，請選出你最喜歡與最不喜歡的同學座號，最多可以選擇五位。 (3)在實際生活(非網路)中，你喜歡跟班上哪些同學互動（例如分組同組、一起吃飯、討論功課、聊心事等）？第3位
v14_3_04,[v14_3_04]以下要了解你與班上同學在網路上以及實際生活中的相處狀況，請選出你最喜歡與最不喜歡的同學座號，最多可以選擇五位。 (3)在實際生活(非網路)中，你喜歡跟班上哪些同學互動（例如分組同組、一起吃飯、討論功課、聊心事等）？第4位
