col_index,ver11_col,ver00_col
1,1,1.請問你的性別（生理性別）：
2,2,2.你覺得你比較認同自己的性別是？（請選擇一個最接近你目前狀態的描述）
3,3,3.請問你親生父母的婚姻狀態：
4,Unnamed: 4,Unnamed: 4
5,4-1,4.下列關於你家中生活的情形，你認為符不符合？ - 4-1. 作決定時，家人會彼此商量
6,4-2,4.下列關於你家中生活的情形，你認為符不符合？ - 4-2. 家人喜歡共度休閒時光
7,4-3,4.下列關於你家中生活的情形，你認為符不符合？ - 4-3. 當有家庭活動時，我們家每個人都會參加
8,4-4,4.下列關於你家中生活的情形，你認為符不符合？ - 4-4. 家人會接納彼此的朋友
9,4-5,4.下列關於你家中生活的情形，你認為符不符合？ - 4-5. 我受到挫折時，總可以從我的家人那裡得到安慰
10,4-6,4.下列關於你家中生活的情形，你認為符不符合？ - 4-6. 當我需要幫忙或忠告時，我可以依賴我的家人
11,5-1,5.過去一年，請問你家長和你相處情形如何？ - 5-1. 批評你或指責你。
12,5-2,5.過去一年，請問你家長和你相處情形如何？ - 5-2. 理解你、肯定你的想法。
13,5-3,5.過去一年，請問你家長和你相處情形如何？ - 5-3. 關心你。
14,5-4,5.過去一年，請問你家長和你相處情形如何？ - 5-4. 提供解決問題的經驗，給你參考。
15,5-5,5.過去一年，請問你家長和你相處情形如何？ - 5-5. 對你不聞不問。
16,5-6,5.過去一年，請問你家長和你相處情形如何？ - 5-6. 跟你常有衝突，彼此關係緊張。
17,5-7,5.過去一年，請問你家長和你相處情形如何？ - 5-7. 知道你每天的行蹤。
18,5-8,5.過去一年，請問你家長和你相處情形如何？ - 5-8. 同樣一件事，他們有時處罰小孩，有時不處罰。
19,5-9,5.過去一年，請問你家長和你相處情形如何？ - 5-9. 處罰你時會打你。
20,5-10,5.過去一年，請問你家長和你相處情形如何？ - 5-10.有關你的事，會告訴你他們的想法。
21,6-1,6.下列有關你們班上的說法，你認為符不符合目前的狀況？ - 6-1.當我需要他們的時候，我的同學們總是會適時伸出援手
22,6-2,6.下列有關你們班上的說法，你認為符不符合目前的狀況？ - 6-2.當班上的同學需要我的時候，我總是會適時伸出援手
23,6-3,6.下列有關你們班上的說法，你認為符不符合目前的狀況？ - 6-3.與其他班級比較，我們班的同學彼此之間，最互相信賴
24,7,7.請問你的座號是？
25,8-1_0,8-1.在網路上，你喜歡跟班上哪些同學互動（例如一起打遊戲、講電話、聊天等）？
26,8-1_1,( 2 )
27,8-1_2,( 3 )
28,8-1_3,( 4 )
29,8-1_4,( 5 )
30,8-2_0,8-2.在網路上，你不喜歡跟班上哪些同學互動？
31,8-2_1,( 2 ).1
32,8-2_2,( 3 ).1
33,8-2_3,( 4 ).1
34,8-2_4,( 5 ).1
35,8-3_0,8-3.在現實生活(非網路)中，你喜歡跟班上哪些同學互動（例如分組同組、一起吃飯、討論功課、聊心事等）？
36,8-3_1,( 2 ).2
37,8-3_2,( 3 ).2
38,8-3_3,( 4 ).2
39,8-3_4,( 5 ).2
40,8-4_0,8-4.在現實生活(非網路)中，你不喜歡跟班上哪位同學互動？
41,8-4_1,( 2 ).3
42,8-4_2,( 3 ).3
43,8-4_3,( 4 ).3
44,8-4_4,( 5 ).3
45,9,9.你上學期的平均成績大約如何？
46,10,10.上九年級以來，你有沒有參加校外補習（包含家教與家教班）？
47,10-1,10-1.你補那幾科？【可複選】-(1)數學
48,10-1_1,10-1.你補那幾科？【可複選】-(2)英語
49,10-1_2,10-1.你補那幾科？【可複選】-(3)理化
50,10-1_3,10-1.你補那幾科？【可複選】-(4)國文
51,10-1_4,10-1.你補那幾科？【可複選】-(5)社會（史、地、公）
52,10-1_5,10-1.你補那幾科？【可複選】-(6)資訊/電腦
53,10-1_6,10-1.你補那幾科？【可複選】-(7)地科
54,10-1_7,10-1.你補那幾科？【可複選】-(8)其他
55,其他,其他
56,11-1,11.請問以下敘述是否符合對你家長的情形？ - 11-1.家長知道我在學校主要的授課老師是誰
57,11-2,11.請問以下敘述是否符合對你家長的情形？ - 11-2.家長知道我在學校的學習狀況 (例如:是否跟得上進度?)
58,11-3,11.請問以下敘述是否符合對你家長的情形？ - 11-3.家長會參加學校的家長會/學校日
59,11-4,11.請問以下敘述是否符合對你家長的情形？ - 11-4.家長會為班上的活動或設備出錢出力
60,11-5,11.請問以下敘述是否符合對你家長的情形？ - 11-5.家長會到學校擔任義工/志工/晚自習輪值
61,11-6,11.請問以下敘述是否符合對你家長的情形？ - 11-6.家長會花時間在我的學校功課上
62,11-7,11.請問以下敘述是否符合對你家長的情形？ - 11-7.家長會幫我買課本以外的評量、測驗卷等補充教材
63,11-8,11.請問以下敘述是否符合對你家長的情形？ - 11-8.家長會上網幫我搜尋相關的教學材料、教學平台或升學資訊
64,12-1,12.升上國九後，家裡有沒有因為你要升學而改變一些安排？ - 12-1.提供你好的讀書空間
65,12-2,12.升上國九後，家裡有沒有因為你要升學而改變一些安排？ - 12-2.為你進補（藥補或食補）
66,12-3,12.升上國九後，家裡有沒有因為你要升學而改變一些安排？ - 12-3.特別注意你和朋友的往來
67,12-4,12.升上國九後，家裡有沒有因為你要升學而改變一些安排？ - 12-4.控制你使用手機或上網
68,12-5,12.升上國九後，家裡有沒有因為你要升學而改變一些安排？ - 12-5.限制你出遊或玩樂的時間
69,12-6,12.升上國九後，家裡有沒有因為你要升學而改變一些安排？ - 12-6.規定你的生活作息
70,12-7,12.升上國九後，家裡有沒有因為你要升學而改變一些安排？ - 12-7.要求其他家人多讓你一些
71,12-8,12.升上國九後，家裡有沒有因為你要升學而改變一些安排？ - 12-8.父母本身使用手機、上網或看電視的時間
72,12-9,12.升上國九後，家裡有沒有因為你要升學而改變一些安排？ - 12-9.父母本身的社交休閒活動
73,12-10,12.升上國九後，家裡有沒有因為你要升學而改變一些安排？ - 12-10.父母陪伴你的時間
74,13,13.你會因為將來的升學問題而感覺有壓力嗎？
75,14,14.你父母有沒有跟你討論過升學的事情？
76,14-1,14-1.你們討論過哪些相關事情？【可複選】-(1)要唸什麼學校
77,14-1_1,14-1.你們討論過哪些相關事情？【可複選】-(2)要加強的科目
78,14-1_2,14-1.你們討論過哪些相關事情？【可複選】-(3)如何安排學習進度
79,14-1_3,14-1.你們討論過哪些相關事情？【可複選】-(4)要如何準備申請
80,14-1_4,14-1.你們討論過哪些相關事情？【可複選】-(5)如何調節情緒壓力
81,14-1_5,14-1.你們討論過哪些相關事情？【可複選】-(6)有什麼獎勵
82,14-1_6,14-1.你們討論過哪些相關事情？【可複選】-(7)其他
83,其他.1,其他.1
84,15,15.你的父母親希望你唸到什麼樣的程度？
85,16,16.以你目前的狀況，你認為自己最可能上哪一類學校？
86,17,17.如果可以不受任何條件限制，你覺得你可以讀到什麼程度？
87,其他.2,其他.2
88,18,18.就你目前的環境和能力，你覺得你可以讀到什麼程度？
89,其他.3,其他.3
90,19-1,19-1.關於上網，請問你爸爸有沒有以下的情形？
91,19-1_1,  - 19-1-1.會規定你什麼時候可以上網，什麼時候不行
92,19-1_2,  - 19-1-2.會限制你上網時間的長短
93,19-1_3,  - 19-1-3.會和你一起聊網路上發生的趣聞或事件
94,19-1_4,  - 19-1-4.會陪你一起上網查資料或做作業
95,19-1_5,  - 19-1-5.會鼓勵你上網
96,19-1_6,  - 19-1-6.會和你討論使用網路的情形和心得
97,19-1_7,  - 19-1-7.擔心你上網會產生健康問題（如:眼睛、體能）
98,19-1_8,  - 19-1-8.擔心你課業成績會因為上網而有不好影響
99,19-1_9,  - 19-1-9.會問你在網上做什麼
100,19-1_10,  - 19-1-10.會查看你的網頁瀏覽記錄
101,19-1_11,  - 19-1-11.會因為你上網而責罵你
102,19-1_12,  - 19-1-12.會因為你在網路購物而和你起衝突
103,19-2,19-2.關於上網，請問你媽媽有沒有以下的情形？
104,19-2_1,  - 19-2-1.會規定你什麼時候可以上網，什麼時候不行
105,19-2_2,  - 19-2-2.會限制你上網時間的長短
106,19-2_3,  - 19-2-3.會和你一起聊網路上發生的趣聞或事件
107,19-2_4,  - 19-2-4.會陪你一起上網查資料或做作業
108,19-2_5,  - 19-2-5.會鼓勵你上網
